id,S,S_plus,S_base,s_mn,s_tn,s_mtn
H0,0.39452419215138257,0.39452419215138257,1.7544858910058254,0.7573319491257591,0.9426201744422948,0.1578096768605529
H1,1.6310970957272485e-15,1.6310970957272485e-15,1.2241416270156669,0.602298545177435,0.9278784885921468,5.103302911388794e-16
H2,0.14449141617901376,0.14449141617901376,1.1450952374782115,0.318207730669707,0.9325470459542908,0.0577965664716053
H3,1.6310970957272485e-15,1.6310970957272485e-15,1.2600961394026142,0.7024848719407135,0.8726353023125527,5.103302911388794e-16
H4,0.1972611368745781,0.1972611368745781,1.368372189725478,0.5805322167984048,0.8833565992652201,0.0789044547498311
H5,1.1986675045447472,1.1986675045447472,2.480160240879922,0.8241761339640672,0.7776897864549015,0.4794670018178987
H6,0.3733748349009426,0.3733748349009426,1.5102284673125117,0.9325837186075197,0.4884833219069424,0.1493499339603768
H7,1.6310970957272485e-15,1.6310970957272485e-15,1.3117040749970277,0.8186527863800913,0.8209773073661912,5.103302911388794e-16
H8,1.6310970957272485e-15,1.6310970957272485e-15,1.4403452537807715,0.8482175269350254,0.9522140402909374,5.103302911388794e-16
H9,0.1378138808337734,0.1378138808337734,1.4003324455491577,0.77875511685563,0.7993930890386003,0.0551255523335093
H10,0.23293230254336136,0.23293230254336136,1.4839022598440923,0.6599873774013246,0.9037250692245896,0.0931729210173444
H11,0.1659436002829569,0.1659436002829569,1.171162582805743,0.388127922561763,0.8683958055917196,0.0663774401131827
H12,0.7752268015906257,0.7752268015906257,1.407977632291212,2.337182257721629e-16,0.7909385383757331,0.3100907206362501
H13,0.5706363186310116,0.5706363186310116,1.2843832001659692,2.337182257721629e-16,0.8921836019186972,0.2282545274524044
H14,0.2450534315327234,0.2450534315327234,1.4156303693920138,0.9203641794806342,0.5428569928434788,0.0980213726130893
H15,1.4534614117872234e-15,1.4534614117872234e-15,1.4784318639311325,0.8806086189960297,0.967431210917884,5.103302911388794e-16
H16,1.1412752001273878,1.1412752001273878,1.864863089558646,2.337182257721629e-16,0.9044848617890732,0.4565100800509549
H17,2.5354634855608854e-15,2.5354634855608854e-15,1.466867664092746,0.8970910178271329,0.936493562288797,7.654954367083192e-16
H18,1.8087327796672735e-15,1.8087327796672735e-15,1.4104841962175678,0.8093846960249366,0.9537205492470212,5.103302911388794e-16
H19,1.110028283772298,1.110028283772298,1.8082695372879984,4.674364515443258e-16,0.8728015668946254,0.444011313508919
