new_id,old_id,S_new,S_old,delta
R163,H1364,-0.1915725403574693,-0.7072519211064383,0.515679380748969
R164,H1678,-0.0008642570565346,-0.6077863329900831,0.6069220759335485
R165,H2143,-0.126788929898534,-0.7898322828354704,0.6630433529369364
R166,H1330,-0.1043286954647387,-0.0733863536205056,-0.0309423418442331
R167,H1032,-0.1543732204108713,-0.0695748704400955,-0.08479834997077579
R168,H1062,-0.1167337163725891,-0.3494359906783138,0.2327022743057247
R169,H962,-0.1838027884264448,-0.0053582632527963,-0.1784445251736485
R170,H1735,-0.1939400985878988,-0.6887084103431214,0.49476831175522257
R171,H1945,-0.237636769966064,-0.0150147130348278,-0.2226220569312362
R172,H1452,-0.1018495601838434,-0.0962392296892959,-0.005610330494547511
R173,H1609,-0.1903088559275585,-0.0058634675495486,-0.1844453883780099
R174,H1865,-0.0017079606194567,-0.5010292062226055,0.4993212456031488
R175,H683,-0.017980346227098,-0.7659279194364645,0.7479475732093666
R176,H1654,-0.1122464187198656,-0.7809598151083063,0.6687133963884406
R177,H910,-0.1164489261835613,-0.0677058930158608,-0.0487430331677005
R178,H653,-0.0020962742579669,-0.8238756493666353,0.8217793751086684
R179,H954,-0.0522357709025439,-0.2260555328989923,0.17381976199644839
R180,H1274,-0.0993850890147159,-0.8185295852988779,0.719144496284162
R181,H1877,-0.1222223713426051,-0.6685760347234126,0.5463536633808076
R182,H1336,-0.0545486316551385,-0.0482744999432663,-0.006274131711872202
R183,H211,-0.0147182530778195,-0.104532843586601,0.0898145905087815
R184,H1080,-0.097155133558098,-0.7913773784193084,0.6942222448612104
R185,H980,-0.1133395569818652,-0.0226598285839376,-0.0906797283979276
R186,H564,-0.2156250420832471,-0.6683750275238284,0.4527499854405813
R187,H751,-0.0527062533010246,-0.8143728054575297,0.761666552156505
R188,H1436,-0.0862677694513631,-0.0700953674031314,-0.0161724020482317
R189,H2154,-0.0023792080971361,-0.0674327064077307,0.0650534983105946
R190,H1764,-0.1550480387194774,-0.1181854537345333,-0.03686258498494409
R191,H822,-0.0120597531655952,-0.0816566350809995,0.06959688191540431
R192,H1323,-0.0043837658930367,-0.7304464927383918,0.7260627268453551
R193,H2090,-0.0336267889952466,-0.7521861610035229,0.7185593720082762
R194,H360,-0.1414780162553772,-0.7999941703801754,0.6585161541247981
R195,H121,-0.0771810608238714,-0.5314314727894641,0.45425041196559274
R196,H932,-0.1412809520967285,-0.3671365456092171,0.2258555935124886
R197,H1338,-0.1990736973490533,-0.6479956220264638,0.44892192467741043
R198,H1865,-0.0255405801218486,-0.5010292062226055,0.4754886261007569
R199,H34,-0.0975807184682075,-0.6394543346575065,0.541873616189299
R200,H1201,-0.1071382335256572,-0.3887524940466303,0.2816142605209731
R201,H1,-0.0016690035829313,-0.6660316073545427,0.6643626037716114
R202,H2056,-0.0956239227752498,-0.3900635130351164,0.2944395902598666
R203,H315,-0.051653160045584,-0.7975195052971776,0.7458663452515937
R204,H746,-0.1702872774891027,-0.752003547631414,0.5817162701423113
R205,H185,-0.0179302468892002,-0.5661625277809941,0.5482322808917939
R206,H737,-0.0019152287051532,-0.0167589222598714,0.014843693554718202
R207,H278,-0.1696554727593235,-0.0899629988677946,-0.07969247389152889
R208,H474,-0.0019423919615007,-0.4332884995959254,0.4313461076344247
R209,H389,-0.0373807850859943,-0.286304976894818,0.2489241918088237
R210,H177,-0.0788183628947871,-0.4483780227437769,0.3695596598489898
R211,H1842,-0.0021787839868518,-0.5432405072158644,0.5410617232290126
R212,H1764,-0.2628699194410903,-0.1181854537345333,-0.14468446570655696
R213,H145,-0.0458839593000477,-0.1569150192235343,0.1110310599234866
R214,H987,-0.1027786700586662,-0.8036600335972685,0.7008813635386022
R215,H2026,-0.0191884700903506,-0.6472362758751987,0.6280478057848481
R216,H1774,-0.1321168149726823,-0.5700522356624752,0.4379354206897929
R217,H493,-0.0198335165501102,-0.3166209160004893,0.29678739945037913
R218,H287,-0.1559485998232983,-0.7823021615931309,0.6263535617698326
R219,H1744,-0.1536005135882049,-0.1885396978647027,0.03493918427649781
R220,H1604,-0.0034042495025922,-0.7169255336163457,0.7135212841137535
R221,H391,-0.1050531116229565,-0.8062093827915171,0.7011562711685606
R222,H1576,-0.2686211617301553,-0.010575237379748,-0.2580459243504073
R223,H1310,-0.003904447288438,-0.5978798321940839,0.5939753849056459
R224,H1020,-0.2151355078747082,-0.670040095463199,0.4549045875884908
R225,H1071,-0.1106395161241622,-0.5943757184304942,0.48373620230633196
R226,H3,-0.1626569615923128,-0.7041654847621176,0.5415085231698048
R227,H116,-0.0033171786013633,-0.0514575617208214,0.048140383119458105
R228,H1270,-0.0660393705183639,-0.7843008335334687,0.7182614630151047
R229,H318,-0.0049525956404551,-0.6682698688349081,0.663317273194453
R230,H43,-0.08505607873346,-0.1979767315732027,0.1129206528397427
R231,H520,-0.0678089573641993,-0.117354848021365,0.049545890657165706
R232,H130,-0.0203969488444698,-0.2309619033865301,0.2105649545420603
R233,H1680,-0.2497951435710525,-0.0369084839947068,-0.2128866595763457
R234,H820,-0.1302438040629913,-0.5460613203430316,0.41581751628004027
R235,H306,-0.0076173072331482,-0.1517401145823276,0.1441228073491794
R236,H1782,-0.0019820073112306,-0.5447947988798817,0.5428127915686511
R237,H1875,-0.091506304019303,-0.0047898286378913,-0.0867164753814117
