id,title,year,field,B4_graph_pmi_inv,B4_graph_newedge
R82,A general approach to belief change in answer set programming,0,ALL,-23.230084646104487,1.0
R83,Learning Efficient Disambiguation,0,ALL,-30.368888985439934,1.0
R84,Resolving Part-of-Speech Ambiguity in the Greek Language Using Learning Techniques,0,ALL,-30.36888898543994,1.0
R85,Implementing Integrity Constraints in an Existing Belief Revision System,0,ALL,-30.36888898543994,1.0
R86,Reasoning with Axioms: Theory and Pratice,0,ALL,-30.36888898543994,1.0
R87,Semantic Parsing based on Verbal Subcategorization,0,ALL,-3.9350370078728414,1.0
R88,Boosting Applied to Word Sense Disambiguation,0,ALL,-25.94697694577668,1.0
R89,Naive Bayes and Exemplar-Based approaches to Word Sense Disambiguation Revisited,0,ALL,-19.487395681359274,1.0
R90,Coaxing Confidences from an Old Friend: Probabilistic Classifications from Transformation Rule Lists,0,ALL,-30.36888898543994,1.0
R91,Stacking classifiers for anti-spam filtering of e-mail,0,ALL,-30.36888898543994,1.0
R92,Propositional satisfiability in answer-set programming,0,ALL,-25.156626376614728,1.0
R93,aspps --- an implementation of answer-set programming with propositional schemata,0,ALL,-30.36888898543994,1.0
R94,A Logic Programming Approach to Knowledge-State Planning: Semantics and Complexity,0,ALL,-22.999035586001174,1.0
R95,Computing Preferred Answer Sets by Meta-Interpretation in Answer Set Programming,0,ALL,-15.031929030285,0.8333333333333334
R96,"The Mysterious Optimality of Naive Bayes: Estimation of the Probability in the System of ""Classifiers""",0,ALL,-8.25932878712364,1.0
R97,Robust Global Localization Using Clustered Particle Filtering,0,ALL,-30.36888898543994,1.0
R98,Relational Association Rules: getting WARMeR,0,ALL,-30.36888898543994,1.0
R99,A Polynomial Translation of Logic Programs with Nested Expressions into Disjunctive Logic Programs: Preliminary Report,0,ALL,-30.36888898543994,1.0
R100,Offline Specialisation in Prolog Using a Hand-Written Compiler Generator,0,ALL,-30.368888985439938,1.0
R101,Approximate Grammar for Information Extraction,0,ALL,-9.645623147493529,1.0
R102,Conflict-based Force Aggregation,0,ALL,-18.60765057718288,1.0
R103,Bounded LTL Model Checking with Stable Models,0,ALL,-30.36888898543994,1.0
R104,"'Computing' as Information Compression by Multiple Alignment, Unification and Search",0,ALL,-25.946976945776683,1.0
R105,"Syntax, Parsing and Production of Natural Language in a Framework of Information Compression by Multiple Alignment, Unification and Search",0,ALL,-23.461133706124464,1.0
R106,Learning in Multiagent Systems: An Introduction from a Game-Theoretic Perspective,0,ALL,-30.36888898543994,1.0
R107,Abduction in Well-Founded Semantics and Generalized Stable Models,0,ALL,-25.188072525953334,1.0
R108,Intelligent search strategies based on adaptive Constraint Handling Rules,0,ALL,-19.457949922466014,1.0
R109,A FP-Tree Based Approach for Mining All Strongly Correlated Pairs without Candidate Generation,0,ALL,-30.36888898543994,1.0
R110,ANTIDS: Self-Organized Ant-based Clustering Model for Intrusion Detection System,0,ALL,-21.75915188182226,1.0
R111,Self-Organized Stigmergic Document Maps: Environment as a Mechanism for Context Learning,0,ALL,-28.296562401645303,1.0
R112,Map Segmentation by Colour Cube Genetic K-Mean Clustering,0,ALL,-19.287674714481792,1.0
R113,Image Colour Segmentation by Genetic Algorithms,0,ALL,-17.910238776340613,1.0
R114,A Suffix Tree Approach to Email Filtering,0,ALL,-30.36888898543994,1.0
R115,Componentwise Least Squares Support Vector Machines,0,ALL,-7.101824980775485,1.0
R116,A Unified Subspace Outlier Ensemble Framework for Outlier Detection in High Dimensional Spaces,0,ALL,-23.46113370612447,1.0
R117,A Fast Greedy Algorithm for Outlier Mining,0,ALL,-20.007256066466734,1.0
R118,K-ANMI: A Mutual Information Based Clustering Algorithm for Categorical Data,0,ALL,-7.343038055399483,1.0
R119,Probabilistic Automata for Computing with Words,0,ALL,-30.36888898543994,1.0
R120,An application-oriented terminology evaluation: the case of back-of-the book indexes,0,ALL,-30.36888898543994,1.0
R121,Universal Algorithmic Intelligence: A mathematical top->down approach,0,ALL,-26.224235817850662,1.0
R122,Multimodal Meaning Representation for Generic Dialogue Systems Architectures,0,ALL,-30.36888898543994,1.0
R123,Improving ecological niche models by data mining large environmental datasets for surrogate models,0,ALL,-30.36888898543994,1.0
R124,Introduction to Arabic Speech Recognition Using CMUSphinx System,0,ALL,-25.90234823552384,1.0
R125,Arabic Speech Recognition System using CMU-Sphinx4,0,ALL,-24.785713048044812,1.0
R126,Clustering with Lattices in the Analysis of Graph Patterns,0,ALL,-30.36888898543994,1.0
R127,Multi-Dimensional Recurrent Neural Networks,0,ALL,-23.46113370612447,1.0
R128,Condition Monitoring of HV Bushings in the Presence of Missing Data Using Evolutionary Computing,0,ALL,-4.263728255890816,1.0
R129,On complexity of optimized crossover for binary representations,0,ALL,-30.36888898543994,1.0
