score_col,N_total,N_recent,N_historical,recent_mean,historical_mean,mean_diff,Welch_t,Welch_p(one-sided),Welch_p(two-sided),MannWhitney_U,MannWhitney_p(one-sided),Cohen_d,Hedges_g,Cliffs_delta,ROC_AUC,PR_AUC,best_thr,Acc,F1,Prec,Rec
s_m,2494,2163,331,0.6113358292912764,0.6078950511927581,0.0034407780985182823,0.4536359000574295,0.3251648958080897,0.6503297916161794,365972.0,0.25613602336131863,0.029407583554761554,0.029398732069794736,0.02233526502437999,0.5111676325121901,0.8627438482276224,-inf,0.8672814755412991,0.9289242001283404,0.8672814755412988,0.9999999999999996
s_t,2494,2163,331,0.616192991943798,0.6096626012382976,0.006530390705500322,0.7503378138678457,0.226731178851505,0.45346235770301,372248.0,0.12092335962710732,0.0454879520522624,0.04547426048447302,0.03986714211687081,0.5199335710584354,0.870058688050483,-inf,0.8672814755412991,0.9289242001283404,0.8672814755412988,0.9999999999999996
s_mtn,2494,2163,331,0.2675385228702623,0.22875128851478835,0.03878723435547396,3.005047730512825,0.0014034225539996067,0.0028068451079992134,404370.5,7.161845329400882e-05,0.1752705422193801,0.17521778696437276,0.12960068607855546,0.5648003430392777,0.8845816437091728,-inf,0.8672814755412991,0.9289242001283404,0.8672814755412988,0.9999999999999996
S,2494,2163,331,0.7759004108884413,0.7432926166895102,0.03260779419893112,1.5364399950057008,0.06260603184136064,0.12521206368272128,373769.5,0.09776596722990288,0.10290338904129812,0.10287241581293212,0.04411742111563188,0.5220587105578159,0.8661036098785799,1.7016941995313929e-07,0.867682437850842,0.9289711579848658,0.8691099476439788,0.9976883957466478
