quantile,hist_threshold,hist_tail_frac,base_rate,precision,precision_CI_low,precision_CI_high,recall,recall_CI_low,recall_CI_high,coverage,coverage_CI_low,coverage_CI_high,lift,lift_CI_low,lift_CI_high,TP,FP,FN,TN,recent_N,hist_N,total_N
0.95,0.7223996000065034,0.050000000000000044,0.8672814755412991,0.8827586206896552,0.8333064516129033,0.9318251964085297,0.05917706888580675,0.04900601017105871,0.06934812760055478,0.05813953488372093,0.04891740176423416,0.06776263031275061,1.017845584835876,0.9608258392614798,1.074420730394301,128,17,2035,314,2163,331,2494
0.975,0.835554200220352,0.025000000000000022,0.8672814755412991,0.859375,0.7719024122807017,0.9375240384615383,0.025427646786870088,0.018955154877484975,0.0319001386962552,0.02566158781074579,0.019647153167602245,0.031676022453889334,0.9908836107258437,0.8900252502210217,1.080991655997724,55,9,2108,322,2163,331,2494
0.99,0.9379175405255721,0.010000000000000009,0.8672814755412991,0.84,0.6874177631578947,0.9642857142857143,0.009708737864077669,0.006010171058714748,0.013869625520110958,0.010024057738572574,0.006415396952686447,0.014033680834001604,0.9685436893203884,0.7926120671825195,1.1118486229443234,21,4,2142,327,2163,331,2494
