score_col,N_total,N_recent,N_historical,recent_mean,historical_mean,mean_diff,Welch_t,Welch_p(one-sided),MannWhitney_U,MannWhitney_p(one-sided),Cohen_d,Cliffs_delta,ROC_AUC,PR_AUC,best_thr,Prec,Rec,F1,Acc
s_mtn,2494,2163,331,0.2675385228702623,0.22875128851478835,0.03878723435547396,3.005047730512825,0.0014034225539996067,404370.5,7.161845329400882e-05,0.1752705422185881,0.11168610230001132,0.5648003430392777,0.8845816437091728,0.0,0.8672814755412991,1.0,0.9289242001288384,0.8672814755412991
S,2494,2163,331,0.7759004108884413,0.7432926166895102,0.03260779419893112,1.5364399950057008,0.06260603184136064,373769.5,0.09776596722990288,0.10290338904097338,0.031323285187714836,0.5220587105578159,0.8661036098785799,6.426083901669183e-07,0.8699878493317132,0.9930651872399445,0.927461139896373,0.8652766639935846
s_t,2494,2163,331,0.616192991943798,0.6096626012382976,0.006530390705500322,0.7503378138678457,0.226731178851505,372248.0,0.12092335962710732,0.04548795205194555,0.0021425987460070703,0.5199335710584354,0.870058688050483,0.4437544705442143,0.8672814755412991,1.0,0.9289242001288384,0.8672814755412991
s_m,2494,2163,331,0.6113358292912764,0.6078950511927581,0.0034407780985182823,0.4536359000574295,0.3251648958080897,365972.0,0.25613602336131863,0.029407583554510213,-0.032206024697151905,0.5111676325121901,0.8627438482276224,0.4296809076804205,0.8672814755412991,1.0,0.9289242001288384,0.8672814755412991
